# of Clouds,RMSE,Fitness
2,0.02457007669391171,0.6759966072943172
3,0.025414570173434466,0.7351750202731606
4,0.025248106972790743,0.782361432939133
5,0.026188564354447757,0.7938862105387612
6,0.026047650919537473,0.796114902310636
7,0.02589347769685116,0.8016750463534891
8,0.02551397780161054,0.7876909890102964
9,0.026172408376608735,0.7745480116104245
10,0.026251290854192182,0.7251595010641569
11,0.026009202643991598,0.7045730811590836
12,0.025951253671258553,0.6930319280174002
13,0.025770963334934435,0.6956396277096438
14,0.02560405640915418,0.6879388810159899
15,0.025608472058148653,0.7043676456245239
16,0.02548910475166361,0.6914260211061497
17,0.025550679657259982,0.6920845556724557
18,0.02550846546475794,0.6789905923674395
19,0.025423475115936765,0.687730265022697
20,0.02534991704869896,0.7028650516389063
21,0.025448143314979556,0.7038611587556427
22,0.02551030135206805,0.7000068425082346
23,0.025499174321359962,0.6866909662804216
24,0.025428827000537085,0.6802039547304769
25,0.025355140255300137,0.6888905948631866
26,0.02545953862650557,0.6949447799399178
27,0.02540240249992174,0.7000191581236426
28,0.02548373342652397,0.7048106714703332
29,0.025674675946937935,0.6947859545377558
30,0.025813387004644743,0.6934396441998862
31,0.025857990080263456,0.6903447742330898
32,0.025869246604579024,0.6972839092244331
33,0.025969087022866908,0.6944659205107144
34,0.026188768156711055,0.6981841499136522
35,0.026169599235186518,0.7020815982745998
36,0.026275694577838647,0.6935064494522929
37,0.02635035284450285,0.6991348459650819
38,0.026402063056510324,0.70342051725223
39,0.02648447871274237,0.7029794377022187
40,0.026512408277350945,0.7038888254529113
